bfinh,bfioh,bfieh,bfiah,bfich,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
275,490,438,400,411,4.6,4,4.89,2,4.3,6,17,4,638,30,2,20,3.9
325,330,350,356,333,4.4,4.67,4,2.38,3.8,1,26,0,124,11,2,19,2.8
425,310,275,256,222,4.4,3.33,4.56,1.88,3.9,4,11,4,117,8,2,18,1.6
238,380,450,300,322,5,3.22,4.22,1.75,3.9,27,19,1,195,15,2,18,3.6
313,300,325,300,333,4.4,3.89,4.56,2.25,4.2,30,4,0,444,43,1,19,2.7
300,260,313,367,278,4.2,3.78,4.11,1.88,3.4,28,4,0,415,38,2,21,3.2
375,360,250,367,344,4.8,4.22,4.67,1.63,3.7,2,11,0,176,28,2,17,2.8
313,340,338,256,411,4.2,2.78,5,2.5,4.2,0,1,0,41,0,1,20,3.5
338,380,175,256,289,3.8,3.56,4.33,1.63,3.8,13,1,0,174,5,1,29,3.5
388,450,400,178,422,4.8,4,4.56,1.25,4.4,28,2,0,265,33,2,21,2
325,400,250,433,378,3.8,4.33,4.67,2.38,4.8,208,6,39,52,7,1,19,2.8
175,440,350,378,389,4.2,4.11,4.89,1.13,5,6,1,0,91,34,1,19,3.3
413,420,375,311,344,3.2,3.89,3.78,3.13,4,73,4,0,39,3,2,19,2.7
275,470,375,378,289,4.4,4,5,1.25,4.9,4,1,0,336,14,1,20,3.2
225,310,288,378,322,4.2,3.67,3.78,2.13,3.6,41,3,3,113,6,1,19,2.8
225,350,388,278,344,5,4.33,4.78,1.5,3.8,73,4,0,287,34,2,19,2.8
375,300,300,333,433,4.4,4.11,4.67,1.75,4.4,53,1,0,165,30,2,23,3.9
338,440,375,289,222,4,4.11,4.56,1.75,4.4,2,1,0,62,95,2,19,3.4
250,370,300,322,378,4.6,4.11,4.89,1,4.5,14,6,0,244,14,1,20,3.7
375,430,438,322,322,4.8,4.56,4.89,1.5,4.9,96,22,0,433,67,2,18,4
425,220,288,378,344,3.8,4.33,4,1.88,3.7,2,4,0,119,27,2,18,3.5
300,340,425,300,356,5,3.33,4.89,1.88,4.5,1,4,0,321,100,2,18,3.4
350,420,263,367,356,4.2,4,4.11,2,4.7,119,2,6,140,9,1,20,2.93
450,360,275,300,322,3.6,4.22,4,1.38,4.3,480,17,6,152,16,2,20,2.2
425,470,375,289,400,4,4.33,4.33,1.13,4.3,76,19,0,415,63,2,19,3.2
363,340,313,389,333,4.4,4.67,4.22,1.5,3.7,11,6,0,276,69,2,20,2.6
388,390,388,311,378,4.2,3.78,4.67,1.75,3.9,5,2,0,533,41,2,19,3.1
188,360,325,378,356,4.4,4.22,4.44,1.5,4.6,36,5,5,199,32,2,19,4
375,420,338,356,422,3.6,4.33,4.44,1.38,4.2,44,5,3,511,36,2,21,2.6
313,360,338,411,389,4,4.22,4.78,2,3.9,228,33,1,224,14,2,21,2.9
275,350,363,433,322,4,4.11,4.33,2.25,4.1,30,10,0,307,35,2,18,3
438,350,388,322,333,3.6,4.22,4.33,1.38,4.7,11,7,0,244,56,2,19,2.2
238,380,338,311,200,4.2,4.22,4.89,1.13,4,1,4,0,38,5,1,19,3.1
450,260,338,344,322,4.4,4.11,4.89,1.63,4.1,49,5,0,402,30,2,20,3.3
288,420,325,300,289,4,3.56,4.56,1.63,4.5,16,12,0,226,48,2,18,3.3
300,270,275,356,256,4.4,3.89,4.56,1.75,3.5,19,5,1,243,14,1,19,3
363,350,275,267,233,3.6,4.22,4.22,1.88,4.9,41,3,0,185,19,2,19,2.5
375,430,363,367,311,4.4,4,4.33,1.88,4.8,302,42,24,349,46,2,18,2.3
350,460,313,289,189,3.2,4.44,4.22,1.25,4.8,84,10,1,227,37,2,20,3.2
338,440,438,467,400,4.4,4.44,4.56,1.38,4.4,20,6,0,339,71,2,22,3.2
275,230,238,333,256,4,3.89,4.11,1.63,3.5,34,3,9,61,14,1,18,3.2
175,470,413,389,378,4.2,3.78,4.89,1.75,4.3,12,9,0,250,28,2,21,3.1
288,430,313,422,378,3.6,3.56,4.56,1.13,4.8,78,15,2,174,8,2,21,3.6
375,430,425,333,367,4.8,4.11,4,2.5,4,43,25,0,447,37,1,18,2.8
288,450,400,411,422,4.8,4.33,4.67,1.13,4.8,88,8,0,218,31,2,21,3.3
325,410,400,356,400,3.8,4,4.78,1.75,3.9,114,8,0,231,34,2,21,3.3
225,300,313,267,300,3.6,3.33,4.67,1.38,4.1,0,8,0,384,24,1,18,3.1
363,320,388,367,367,4.8,4.33,4.56,1.88,3.7,2,5,0,534,70,2,18,2.6
275,430,400,333,344,4,4,4.11,1.75,4.4,8,11,0,397,17,2,20,3
313,470,363,344,300,4.4,3.89,4.33,1.25,4.8,56,19,2,91,13,2,19,3.3
338,380,275,378,356,3.6,4.56,4.89,1.38,4.5,5,3,0,258,11,1,20,2.8
363,380,225,333,278,4.2,4.22,4.33,1.63,4.2,337,5,1,90,16,2,19,2.3
350,260,338,222,400,3.2,3.11,5,1.63,3.4,283,6,0,201,42,2,20,3.1
413,440,325,333,378,4.2,4.11,4.56,1.88,3.9,75,5,0,171,8,2,38,3.3
288,450,475,367,311,4.6,4.33,4.89,1.5,4.8,179,59,8,1453,57,2,21,3.6
213,350,263,389,289,4.4,3.89,4.89,1.75,4,73,4,0,100,7,1,19,3.1
250,330,388,367,400,4.6,4.56,4.78,1.25,3.9,73,9,0,334,9,1,19,3.6
425,370,200,411,378,4,4.11,4.33,2.25,4.3,17,6,0,66,13,2,19,2.7
338,310,338,267,222,4.4,3.89,4.56,1.38,4.4,47,38,2,194,59,2,19,3.2
388,350,325,333,256,4.4,4.22,4.44,1.5,4.4,73,1,0,298,33,2,18,3
238,330,313,411,333,3.6,3.67,4.11,1.5,3.1,8,4,0,102,10,1,20,3.4
288,490,413,311,489,4.2,3.89,4.89,1.88,4.6,22,26,4,297,22,2,19,3.4
325,450,338,333,311,4.2,4,4.44,1.88,3.8,28,13,0,406,16,2,20,3.4
213,440,263,300,378,4.4,3.22,4.78,1.38,4.7,1,2,0,79,5,1,18,3.6
188,340,338,356,278,3.8,4.33,4.56,1.75,4,0,3,0,163,24,2,18,2.7
438,280,263,344,389,4.4,4.22,4.44,1.25,3.4,26,6,1,94,17,2,19,3.1
275,270,325,344,322,4,3.56,4.33,1.88,4,14,4,1,241,12,1,20,2.8
375,490,325,333,389,4.2,3.56,4.44,2.5,4.7,16,22,0,561,67,2,19,3
450,380,413,367,200,4.6,4.67,4.78,1.5,4.5,66,3,2,308,37,2,19,3.3
338,390,350,256,311,4.4,4.33,4.33,1.75,4,28,15,0,242,25,2,19,2.8
325,350,400,356,367,3.8,3.89,4,1.75,3.9,48,2,0,136,47,2,21,3
275,230,200,311,456,3.4,3.33,4.67,1.88,2.3,0,1,0,56,12,1,18,3.1
388,440,400,322,289,4.2,4.22,4.22,1.38,4.5,83,33,0,419,24,2,19,3.8
325,300,425,267,256,4.2,3,3.78,2.25,3.6,177,29,0,407,23,2,20,3.1
400,290,263,367,422,4.2,4.44,4.78,1.88,4.1,3,5,0,129,35,2,18,1.9
413,240,338,322,200,4.4,3.89,4.11,1.5,3.9,38,2,4,151,19,2,20,2.9
