bfieh,bfiah,bfich,bfinh,bfioh,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
300,311,311,375,330,3.6,3.67,4.22,1.5,3.6,0,1,0,97,11,1,18,3.1
338,367,222,338,500,4.4,4.56,4.22,2,4.7,45,22,1,172,18,2,19,3
288,344,300,313,370,4.2,3.56,3.67,2.5,4.1,79,25,2,240,11,2,20,3.2
288,400,300,350,370,4,4,4.78,2.25,4.1,31,5,0,117,11,1,19,2.8
400,311,256,250,280,4.4,3.78,4.56,1.5,3.4,5,6,0,280,9,1,20,3
288,322,244,313,380,3.4,3.33,3.44,2.63,3.7,347,2,6,89,17,2,18,2.3
250,367,278,363,320,4.2,4.33,4.44,1.88,4.2,24,6,3,154,41,2,19,2.7
300,367,311,350,420,3.4,3.78,3.33,3,4.5,550,29,7,216,10,2,18,2.7
363,456,367,300,390,4.2,4.44,4.11,1.5,4,7,1,0,134,22,1,21,3.5
325,289,333,338,390,3.6,4,4.56,2.5,3.6,42,7,0,187,27,2,21,3
200,322,500,175,140,1.8,3.22,4.78,1,1.8,26,3,7,418,10,1,22,3.6
275,222,178,475,330,3.4,3.89,4.22,1.63,4.2,5,1,0,45,6,2,19,2.9
325,378,367,300,390,4,4.11,4.22,2.13,4.3,20,11,0,209,34,2,20,3.6
313,356,378,313,270,4.2,4,4.22,2.13,3.3,30,12,2,223,26,2,19,3
300,244,344,338,350,4,3.89,4.44,1.63,3.9,0,2,0,181,14,2,19,3.1
413,400,444,238,440,4.6,4.67,5,1.5,4.8,66,16,0,527,26,2,21,3.7
388,344,389,375,380,4.2,4.56,4.78,1.13,4.5,15,10,0,200,35,2,20,3.2
463,433,422,163,460,5,4.89,4.22,1.38,4.2,6,2,0,167,21,1,19,3.6
475,344,267,288,450,4.8,4.33,4.67,1.25,4.6,73,1,0,128,6,2,19,3.7
338,400,322,350,400,4.6,4.22,4.89,1.5,3.9,20,13,6,186,7,2,21,3.8
413,389,344,300,480,4.4,4.22,3.67,1.75,4.7,24,22,0,328,30,2,19,2.9
388,367,356,313,360,4.8,4.11,4.56,2.38,4.8,8,7,0,380,54,2,18,3
438,400,411,275,490,4.6,4,4.89,2,4.3,6,17,4,638,30,2,20,3.9
350,356,333,325,330,4.4,4.67,4,2.38,3.8,1,26,0,124,11,2,19,2.8
275,256,222,425,310,4.4,3.33,4.56,1.88,3.9,4,11,4,117,8,2,18,1.6
450,300,322,238,380,5,3.22,4.22,1.75,3.9,27,19,1,195,15,2,18,3.6
325,300,333,313,300,4.4,3.89,4.56,2.25,4.2,30,4,0,444,43,1,19,2.7
313,367,278,300,260,4.2,3.78,4.11,1.88,3.4,28,4,0,415,38,2,21,3.2
250,367,344,375,360,4.8,4.22,4.67,1.63,3.7,2,11,0,176,28,2,17,2.8
338,256,411,313,340,4.2,2.78,5,2.5,4.2,0,1,0,41,0,1,20,3.5
175,256,289,338,380,3.8,3.56,4.33,1.63,3.8,13,1,0,174,5,1,29,3.5
400,178,422,388,450,4.8,4,4.56,1.25,4.4,28,2,0,265,33,2,21,2
250,433,378,325,400,3.8,4.33,4.67,2.38,4.8,208,6,39,52,7,1,19,2.8
350,378,389,175,440,4.2,4.11,4.89,1.13,5,6,1,0,91,34,1,19,3.3
375,311,344,413,420,3.2,3.89,3.78,3.13,4,73,4,0,39,3,2,19,2.7
375,378,289,275,470,4.4,4,5,1.25,4.9,4,1,0,336,14,1,20,3.2
288,378,322,225,310,4.2,3.67,3.78,2.13,3.6,41,3,3,113,6,1,19,2.8
388,278,344,225,350,5,4.33,4.78,1.5,3.8,73,4,0,287,34,2,19,2.8
300,333,433,375,300,4.4,4.11,4.67,1.75,4.4,53,1,0,165,30,2,23,3.9
375,289,222,338,440,4,4.11,4.56,1.75,4.4,2,1,0,62,95,2,19,3.4
300,322,378,250,370,4.6,4.11,4.89,1,4.5,14,6,0,244,14,1,20,3.7
438,322,322,375,430,4.8,4.56,4.89,1.5,4.9,96,22,0,433,67,2,18,4
288,378,344,425,220,3.8,4.33,4,1.88,3.7,2,4,0,119,27,2,18,3.5
425,300,356,300,340,5,3.33,4.89,1.88,4.5,1,4,0,321,100,2,18,3.4
263,367,356,350,420,4.2,4,4.11,2,4.7,119,2,6,140,9,1,20,2.93
275,300,322,450,360,3.6,4.22,4,1.38,4.3,480,17,6,152,16,2,20,2.2
375,289,400,425,470,4,4.33,4.33,1.13,4.3,76,19,0,415,63,2,19,3.2
313,389,333,363,340,4.4,4.67,4.22,1.5,3.7,11,6,0,276,69,2,20,2.6
388,311,378,388,390,4.2,3.78,4.67,1.75,3.9,5,2,0,533,41,2,19,3.1
325,378,356,188,360,4.4,4.22,4.44,1.5,4.6,36,5,5,199,32,2,19,4
338,356,422,375,420,3.6,4.33,4.44,1.38,4.2,44,5,3,511,36,2,21,2.6
338,411,389,313,360,4,4.22,4.78,2,3.9,228,33,1,224,14,2,21,2.9
363,433,322,275,350,4,4.11,4.33,2.25,4.1,30,10,0,307,35,2,18,3
388,322,333,438,350,3.6,4.22,4.33,1.38,4.7,11,7,0,244,56,2,19,2.2
338,311,200,238,380,4.2,4.22,4.89,1.13,4,1,4,0,38,5,1,19,3.1
338,344,322,450,260,4.4,4.11,4.89,1.63,4.1,49,5,0,402,30,2,20,3.3
325,300,289,288,420,4,3.56,4.56,1.63,4.5,16,12,0,226,48,2,18,3.3
275,356,256,300,270,4.4,3.89,4.56,1.75,3.5,19,5,1,243,14,1,19,3
275,267,233,363,350,3.6,4.22,4.22,1.88,4.9,41,3,0,185,19,2,19,2.5
363,367,311,375,430,4.4,4,4.33,1.88,4.8,302,42,24,349,46,2,18,2.3
313,289,189,350,460,3.2,4.44,4.22,1.25,4.8,84,10,1,227,37,2,20,3.2
438,467,400,338,440,4.4,4.44,4.56,1.38,4.4,20,6,0,339,71,2,22,3.2
