bfia,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
4.56,3.8,4.67,4.67,1.75,4.6,25,15,0,584,64,2,21,2.8
3.89,4.2,4.11,4.44,2,4,62,16,0,1037,92,2,20,3.4
2.33,4.2,3.22,4.89,1.63,3.7,127,4,4,687,22,1,21,3.5
4.22,4,4.11,4.33,2.13,4.3,118,49,8,743,58,2,18,3.3
3.78,4.2,4.22,4.89,1,4,8,3,0,259,31,1,20,4
4.44,5,4.22,4.78,1.5,4.3,83,9,0,252,14,1,19,4
3.11,4.4,3.78,4,2.5,4.5,0,8,0,209,15,2,19,2.7
3,3.4,3.67,4.11,1.88,4,4,12,3,148,31,2,20,2.9
3.11,3.8,3.67,4.11,1.88,3.9,73,9,1,80,3,1,28,2.4
3.22,3.4,3.33,4.56,1.63,4.1,22,1,2,137,1,1,19,2.9
3.44,4.4,4,4.67,2.13,4.8,112,4,0,328,43,2,18,2.8
4,4.6,4.44,4.67,1.5,4.7,37,4,4,267,29,2,20,2.7
3.22,4.8,4.33,4.89,1.5,4.8,218,10,0,449,40,2,18,3.3
3.33,3.8,3.22,4,2.38,3.8,3,2,1,76,21,2,22,3
3.56,4.2,4.33,4.89,1.5,4.5,30,2,0,243,71,1,21,2.8
3.44,4.6,3.78,4.78,1.25,4.4,6,20,1,213,36,2,21,2.8
3.56,4,3.44,4.56,1.75,4.7,15,2,3,70,7,2,18,3.1
3.56,3.8,3.44,4.78,1.25,3.8,5,13,18,206,15,2,20,3.4
4.11,4.6,4.44,4.11,1.88,4.3,0,4,0,21,4,2,21,3.5
4.11,3.8,4.11,4.78,1.38,4.9,10,4,4,168,26,1,20,3.5
2.67,3.6,3.89,3.56,1.13,4.4,17,1,1,79,15,2,21,3.1
3.56,4.2,3.89,4.89,1.25,4.2,0,6,0,237,26,1,18,3.4
4.22,4,4,4.33,2.13,4.4,48,1,0,376,39,2,21,3
3.33,4,3.56,4.56,3.75,3.9,9,9,1,241,34,2,19,3.3
3.33,4.8,4.22,4.56,1.38,4.8,39,25,1,223,30,2,19,3.3
4.89,4,4.56,4.78,1.38,4.4,25,4,0,72,10,2,21,3.2
3.56,4.6,4,4.22,1.63,4.3,24,5,1,184,26,2,18,2.9
3.44,4.6,4,4,1.63,4.6,73,5,1,117,38,2,17,3.1
3.89,3.8,4,3.67,2.5,4,37,16,0,401,52,2,19,3.2
3.89,3.4,3.89,4.67,1.88,3.8,21,10,3,36,5,1,19,2.7
2.78,4.6,3.56,4.11,2.13,4.8,46,22,7,70,11,2,19,3.1
4.11,4.6,4.56,4.67,1.63,4.9,11,29,0,181,12,2,20,3.7
3.89,4.4,4,3.89,1.25,4.5,38,13,1,177,34,2,18,3.1
3.22,4.2,4.44,4.67,1.38,4.1,3,9,0,139,23,2,18,3.1
2.78,4.8,2.67,4.22,1,4.2,22,23,2,352,18,2,21,4
2.89,4.2,3.89,4.11,1.25,4.3,12,8,0,133,8,2,21,2.1
4.11,4.8,4.78,4.89,1.88,4.8,50,10,0,189,26,2,20,2.8
2.33,3.2,4,4.22,2,3.6,1,4,0,420,28,2,20,1.7
4.22,4.2,4.56,4.56,1.75,4.4,32,2,0,470,60,2,18,2.7
4.44,4,4,3.67,1.75,4.4,14,11,0,329,48,2,19,2.6
4.44,3.6,4.56,4,1.38,4.9,86,8,0,191,19,2,17,3.1
2.11,4.8,3.67,4.56,1.75,4,16,17,0,311,35,2,22,3.7
3.44,4.8,3.33,5,1.5,4.5,14,13,0,360,45,2,22,3.6
